年底別,地政士新開業人數/總計[人],地政士新開業人數/男[人],地政士新開業人數/女[人],地政士現有開業人數/總計[人],地政士現有開業人數/男[人],地政士現有開業人數/女[人],不動產估價師開業人數[人],法院拍定成屋件數/總計[件],法院拍定成屋平均每件價位[萬元],法院拍定成屋平均每坪價位[萬元],房地產消費糾紛原因/總計[件],房地產消費糾紛原因/建物面積及設備瑕疵爭議[件],房地產消費糾紛原因/契約問題[件],房地產消費糾紛原因/資訊不實[件],房地產消費糾紛原因/買賣金額爭議[件],房地產消費糾紛原因/遲延及欺罔爭議等以及其他[件]
 91年,411,231,180,2743,1614,1129,43,-,-,-,-,-,-,-,-,-
 92年,193,114,79,2759,1628,1131,40,-,-,-,-,-,-,-,-,-
 93年,175,90,85,2779,1641,1138,45,-,-,-,-,-,-,-,-,-
 94年,183,103,80,2768,1636,1132,71,-,-,-,-,-,-,-,-,-
 95年,1380,809,571,1916,1113,803,81,466,824,25.5,-,-,-,-,-,-
 96年,117,74,43,1973,1149,824,97,539,856,28.16,139,64,15,22,22,16
 97年,117,59,58,1966,1152,814,98,475,778,25.69,383,133,60,63,66,61
 98年,117,69,48,1993,1172,821,77,489,766,26.25,429,140,87,81,70,51
 99年,231,135,96,1871,1100,771,86,344,771,32.62,270,84,43,54,50,39
 100年,104,64,40,1871,1107,764,98,168,1051,42.56,259,76,41,55,37,50
 101年,100,59,41,1865,1091,774,95,271,962,51.92,195,41,24,33,46,51
 102年,112,69,43,1838,1081,757,93,264,2316,29.53,214,43,29,25,40,77
 103年,114,67,47,1710,1001,709,99,180,1844,25.16,209,50,17,31,49,62
 104年,108,69,39,1690,1001,689,101,245,2181,31.96,181,32,30,30,24,65
 105年,80,42,38,1696,1008,688,108,236,2154,36.27,221,56,51,23,37,54
 106年,76,57,19,1663,995,668,118,308,2991,41.6,196,44,21,28,42,61
 107年,107,62,45,1539,923,616,129,325,2643,41.11,207,45,24,29,26,83
 108年,72,39,33,1545,916,629,131,409,3008,38.42,198,34,13,26,46,79
 109年,77,45,32,1537,916,621,142,411,2508,42.54,176,40,14,28,30,64
 110年,52,29,23,1528,920,608,147, ..., ..., ...,187,40,28,23,41,55
